fold,train_size,test_size,train_period,test_period,accuracy,precision,recall,f1_score,roc_auc,sharpe,max_drawdown,win_rate,total_trades,total_pnl
1,4670,1532,2023-01-01 to 2023-06-30,2023-06-30 to 2023-07-29,0.9530026109660574,0.9889705882352942,0.9471830985915493,0.9676258992805755,0.994131455399061,2.973596755017758,-260.0,0.5119485294117647,1088,6090.0
2,9545,155,2023-01-01 to 2023-12-27,2023-12-27 to 2024-01-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
